trial,sequence,response,accuracy
1,FEYRKBUQNPDMIAH,FEYRQBNUVA,0.6
2,ABIHOPFLQJRUWZD,AOBYILOPHRW,0.6
3,NTKQSWUCIROJLHF,HFJNTQKIL,0.6
4,PADELBSMFXYCWVG,PADELBSMFYINGXA,0.8
5,PSVEAHQDFRWOGUN,NUGRSVEADK,0.6
6,PJWTLSFIAKYXUEO,PJWTISLOA,0.6
7,MTKIGCPJWDZRYEB,BGMKTIGCP,0.5333333333333333
8,KIRTWDPSLEFVQUZ,KRTWDPSLEFT,0.6666666666666666
9,THOMLYZWFXRJSAK,THOMLIZUFXA,0.6
10,EKPBINHWCRFVSTY,EKPOBRINCYAVZ,0.6666666666666666
