trial,sequence,response,accuracy,positional_accuracy
1,EAIRHT,EARLHI,0.5,"[1, 1, 0, 0, 1, 0]"
2,WKCGLE,WKCELP,0.6666666666666666,"[1, 1, 1, 0, 1, 0]"
3,MNXEBR,MNWEBR,0.8333333333333334,"[1, 1, 0, 1, 1, 1]"
4,NAYFTR,NAYETR,0.8333333333333334,"[1, 1, 1, 0, 1, 1]"
5,SJCTWM,SECTWE,0.6666666666666666,"[1, 0, 1, 1, 1, 0]"
6,TFGIQM,TFGEFL,0.5,"[1, 1, 1, 0, 0, 0]"
7,MTQROB,STQRLM,0.5,"[0, 1, 1, 1, 0, 0]"
8,GYVFKM,FETLCS,0.0,"[0, 0, 0, 0, 0, 0]"
9,TQDCEM,TQCLTE,0.3333333333333333,"[1, 1, 0, 0, 0, 0]"
10,BNYEMD,BNFEMD,0.8333333333333334,"[1, 1, 0, 1, 1, 1]"
