trial,sequence,response,accuracy,positional_accuracy,subject
1,UASGFD,UASGDO,0.6666666666666666,"[1, 1, 1, 1, 0, 0]",clara
2,WXSJYL,WXYZAL,0.5,"[1, 1, 0, 0, 0, 1]",clara
3,RBKYWO,RBQAYL,0.3333333333333333,"[1, 1, 0, 0, 0, 0]",clara
4,AELQKO,ALQKDE,0.1666666666666666,"[1, 0, 0, 0, 0, 0]",clara
5,LHNDVM,LHNMYD,0.5,"[1, 1, 1, 0, 0, 0]",clara
6,NCMFZB,NCLUEM,0.3333333333333333,"[1, 1, 0, 0, 0, 0]",clara
7,NRLVBY,NRLBSU,0.5,"[1, 1, 1, 0, 0, 0]",clara
8,KWLTIX,KWLTYS,0.6666666666666666,"[1, 1, 1, 1, 0, 0]",clara
9,DPYHOC,DPYHCL,0.6666666666666666,"[1, 1, 1, 1, 0, 0]",clara
10,UVHCMJ,UVCLOU,0.3333333333333333,"[1, 1, 0, 0, 0, 0]",clara
1,ZASQTW,ZASQTW,1.0,"[1, 1, 1, 1, 1, 1]",erine
2,PVOQDR,PVOQDR,1.0,"[1, 1, 1, 1, 1, 1]",erine
3,BPRMYC,BPRMYC,1.0,"[1, 1, 1, 1, 1, 1]",erine
4,MAPENZ,MAPENZ,1.0,"[1, 1, 1, 1, 1, 1]",erine
5,YLEPQN,YLEPQN,1.0,"[1, 1, 1, 1, 1, 1]",erine
6,JSREVT,JSREVT,1.0,"[1, 1, 1, 1, 1, 1]",erine
7,QAWJMY,QAWJYM,0.6666666666666666,"[1, 1, 1, 1, 0, 0]",erine
8,DRISZE,DRISZE,1.0,"[1, 1, 1, 1, 1, 1]",erine
9,BQTWLR,BQTWLR,1.0,"[1, 1, 1, 1, 1, 1]",erine
10,SUXYAR,SUXYAR,1.0,"[1, 1, 1, 1, 1, 1]",erine
1,YNDOKW,YNODKW,0.6666666666666666,"[1, 1, 0, 0, 1, 1]",zuriel
2,TPJYZW,TPJYZW,1.0,"[1, 1, 1, 1, 1, 1]",zuriel
3,EZACSV,EZCAVW,0.3333333333333333,"[1, 1, 0, 0, 0, 0]",zuriel
4,KWFSJN,KWSJFN,0.5,"[1, 1, 0, 0, 0, 1]",zuriel
5,TCJOFL,TCJOFL,1.0,"[1, 1, 1, 1, 1, 1]",zuriel
6,NSZXPY,NSZXPY,1.0,"[1, 1, 1, 1, 1, 1]",zuriel
7,DVYLHN,DVYHLN,0.6666666666666666,"[1, 1, 1, 0, 0, 1]",zuriel
8,XLPAZV,XLAPZV,0.6666666666666666,"[1, 1, 0, 0, 1, 1]",zuriel
9,VOESRM,VOSROM,0.5,"[1, 1, 0, 0, 0, 1]",zuriel
10,FXQPKI,XQPKIS,0.0,"[0, 0, 0, 0, 0, 0]",zuriel
1,GFXIQR,GFXIQR,1.0,"[1, 1, 1, 1, 1, 1]",joao
2,DXMIRC,DXMIRC,1.0,"[1, 1, 1, 1, 1, 1]",joao
3,HYSAIB,HYSAIB,1.0,"[1, 1, 1, 1, 1, 1]",joao
3,HYSAIB,,0.0,"[0, 0, 0, 0, 0, 0]",joao
4,PJRUHA,PJRUHA,1.0,"[1, 1, 1, 1, 1, 1]",joao
5,KNFSJM,KNSKJF,0.5,"[1, 1, 0, 0, 1, 0]",joao
6,URDOGB,URDOGB,1.0,"[1, 1, 1, 1, 1, 1]",joao
7,ZPLNYX,ZPLNYX,1.0,"[1, 1, 1, 1, 1, 1]",joao
8,HBMFLX,HBMFLX,1.0,"[1, 1, 1, 1, 1, 1]",joao
9,BPGMUE,BPGMUE,1.0,"[1, 1, 1, 1, 1, 1]",joao
10,WKFAJQ,WKFAJQ,1.0,"[1, 1, 1, 1, 1, 1]",joao
