trial,sequence,response,accuracy,positional_accuracy,subject
1,YDVPNW,YDWPML,0.5,"[1, 1, 0, 1, 0, 0]",clara
2,OTJSBZ,OTJSBT,0.8333333333333334,"[1, 1, 1, 1, 1, 0]",clara
3,MIHVQZ,MIHVQT,0.8333333333333334,"[1, 1, 1, 1, 1, 0]",clara
4,FAUHSZ,FAUHZT,0.6666666666666666,"[1, 1, 1, 1, 0, 0]",clara
5,OHUKZR,OHUKZR,1.0,"[1, 1, 1, 1, 1, 1]",clara
6,YJQLIG,UJQLTK,0.5,"[0, 1, 1, 1, 0, 0]",clara
7,AVILBG,AVILJK,0.6666666666666666,"[1, 1, 1, 1, 0, 0]",clara
8,BXMDVP,BXMDVL,0.8333333333333334,"[1, 1, 1, 1, 1, 0]",clara
9,DZFASG,DZFAQL,0.6666666666666666,"[1, 1, 1, 1, 0, 0]",clara
10,TKFOYX,TKFOYK,0.8333333333333334,"[1, 1, 1, 1, 1, 0]",clara
1,IADLYQ,IADLYQ,1.0,"[1, 1, 1, 1, 1, 1]",erine
2,LVPAQU,LVPAQU,1.0,"[1, 1, 1, 1, 1, 1]",erine
3,KEFLGY,FEKLQG,0.3333333333333333,"[0, 1, 0, 1, 0, 0]",erine
4,KXZPQS,KXZPQS,1.0,"[1, 1, 1, 1, 1, 1]",erine
5,SLVRPY,SLVRPY,1.0,"[1, 1, 1, 1, 1, 1]",erine
6,HYGWLZ,HYGWLZ,1.0,"[1, 1, 1, 1, 1, 1]",erine
7,NXMCSP,NXMCSP,1.0,"[1, 1, 1, 1, 1, 1]",erine
8,XIGZWO,XIGZWO,1.0,"[1, 1, 1, 1, 1, 1]",erine
9,WXQGIE,WXKGIE,0.8333333333333334,"[1, 1, 0, 1, 1, 1]",erine
10,ORPDBY,ORPDBY,1.0,"[1, 1, 1, 1, 1, 1]",erine
1,FTPRWN,FTPRWN,1.0,"[1, 1, 1, 1, 1, 1]",zuriel
2,EWUDBS,EWUDBS,1.0,"[1, 1, 1, 1, 1, 1]",zuriel
3,PGEVKW,PGEVKW,1.0,"[1, 1, 1, 1, 1, 1]",zuriel
4,KOFTWG,KOFTWG,1.0,"[1, 1, 1, 1, 1, 1]",zuriel
5,VICDGR,VICDGR,1.0,"[1, 1, 1, 1, 1, 1]",zuriel
6,IUONTM,IOUNTM,0.6666666666666666,"[1, 0, 0, 1, 1, 1]",zuriel
7,NUZXJB,NUZXJM,0.8333333333333334,"[1, 1, 1, 1, 1, 0]",zuriel
8,VKJRZH,VKJZRH,0.6666666666666666,"[1, 1, 1, 0, 0, 1]",zuriel
9,BEHCQF,BEHCQF,1.0,"[1, 1, 1, 1, 1, 1]",zuriel
10,SNMVYW,SMNVYW,0.6666666666666666,"[1, 0, 0, 1, 1, 1]",zuriel
1,JCPNSI,JCPNSI,1.0,"[1, 1, 1, 1, 1, 1]",joao
2,LFKEJB,LFKEJB,1.0,"[1, 1, 1, 1, 1, 1]",joao
3,PTBWJZ,PTBWJB,0.8333333333333334,"[1, 1, 1, 1, 1, 0]",joao
4,XSQFML,XSQMFL,0.6666666666666666,"[1, 1, 1, 0, 0, 1]",joao
4,XSQFML,,0.0,"[0, 0, 0, 0, 0, 0]",joao
5,JAOIVS,JAOIVS,1.0,"[1, 1, 1, 1, 1, 1]",joao
6,KEWGSD,KEWGSD,1.0,"[1, 1, 1, 1, 1, 1]",joao
7,PEMQGB,PEMQGB,1.0,"[1, 1, 1, 1, 1, 1]",joao
8,TKSVWB,TKSWVB,0.6666666666666666,"[1, 1, 1, 0, 0, 1]",joao
9,HOGELI,HOGELI,1.0,"[1, 1, 1, 1, 1, 1]",joao
9,HOGELI,,0.0,"[0, 0, 0, 0, 0, 0]",joao
10,FASWVK,FASWVK,1.0,"[1, 1, 1, 1, 1, 1]",joao
