trial,sequence,response,accuracy,positional_accuracy,subject
1,NJQEZX,NJQESZ,0.6666666666666666,"[1, 1, 1, 1, 0, 0]",clara
2,GRPTED,GRPTED,1.0,"[1, 1, 1, 1, 1, 1]",clara
3,AGJYNZ,AGJYNZ,1.0,"[1, 1, 1, 1, 1, 1]",clara
4,UPIDBM,UPIDBM,1.0,"[1, 1, 1, 1, 1, 1]",clara
5,VDIPTM,VDIPTM,1.0,"[1, 1, 1, 1, 1, 1]",clara
6,XMIATG,ATVMTM,0.1666666666666666,"[0, 0, 0, 0, 1, 0]",clara
7,MHGIWF,MHVQWT,0.5,"[1, 1, 0, 0, 1, 0]",clara
8,TJCLMG,TJCLMG,1.0,"[1, 1, 1, 1, 1, 1]",clara
9,YCUSTF,UCVXEF,0.3333333333333333,"[0, 1, 0, 0, 0, 1]",clara
10,OPSIBD,OPSIBM,0.8333333333333334,"[1, 1, 1, 1, 1, 0]",clara
1,ODRXZW,ODRXZW,1.0,"[1, 1, 1, 1, 1, 1]",erine
2,BVNEJT,BVNEJT,1.0,"[1, 1, 1, 1, 1, 1]",erine
3,JMOYDA,JMOYDA,1.0,"[1, 1, 1, 1, 1, 1]",erine
4,RDOXYQ,RDOXYQ,1.0,"[1, 1, 1, 1, 1, 1]",erine
5,WYURMJ,WYURMJ,1.0,"[1, 1, 1, 1, 1, 1]",erine
6,YKQPRL,YKQPRL,1.0,"[1, 1, 1, 1, 1, 1]",erine
7,DXFILG,DXFILG,1.0,"[1, 1, 1, 1, 1, 1]",erine
8,BAZHKF,BAZHKF,1.0,"[1, 1, 1, 1, 1, 1]",erine
9,QKDUMH,QKDUMH,1.0,"[1, 1, 1, 1, 1, 1]",erine
10,TIQESU,TIQESU,1.0,"[1, 1, 1, 1, 1, 1]",erine
1,VQFOTU,VQOFTR,0.5,"[1, 1, 0, 0, 1, 0]",zuriel
2,ICTLFE,ICTLFE,1.0,"[1, 1, 1, 1, 1, 1]",zuriel
3,GYWKMV,GYWKLM,0.6666666666666666,"[1, 1, 1, 1, 0, 0]",zuriel
4,HIZCWS,HIZCWS,1.0,"[1, 1, 1, 1, 1, 1]",zuriel
5,GOAXWY,GOAXWY,1.0,"[1, 1, 1, 1, 1, 1]",zuriel
6,IVRFZA,IVRFZA,1.0,"[1, 1, 1, 1, 1, 1]",zuriel
7,XPIUWJ,XPIUWJ,1.0,"[1, 1, 1, 1, 1, 1]",zuriel
8,BENWPJ,BENWPJ,1.0,"[1, 1, 1, 1, 1, 1]",zuriel
9,BZPMCV,BZPWPJ,0.5,"[1, 1, 1, 0, 0, 0]",zuriel
10,BRWVQJ,BRWVQJ,1.0,"[1, 1, 1, 1, 1, 1]",zuriel
1,LATPKO,LAPTKO,0.6666666666666666,"[1, 1, 0, 0, 1, 1]",joao
2,PKEXAL,PKEXAL,1.0,"[1, 1, 1, 1, 1, 1]",joao
3,NVMAJZ,NVMAJZ,1.0,"[1, 1, 1, 1, 1, 1]",joao
4,XHQCSU,FHTXSU,0.5,"[0, 1, 0, 0, 1, 1]",joao
5,MBKCIP,MBKCIP,1.0,"[1, 1, 1, 1, 1, 1]",joao
6,CIMKHB,CIMKHB,1.0,"[1, 1, 1, 1, 1, 1]",joao
7,YXTIKD,YXTIKB,0.8333333333333334,"[1, 1, 1, 1, 1, 0]",joao
8,UCPFYM,UCPFYM,1.0,"[1, 1, 1, 1, 1, 1]",joao
9,PVWBSJ,BVWBSJ,0.8333333333333334,"[0, 1, 1, 1, 1, 1]",joao
9,PVWBSJ,,0.0,"[0, 0, 0, 0, 0, 0]",joao
10,SZOFBT,SZOFBT,1.0,"[1, 1, 1, 1, 1, 1]",joao
