trial,sequence,response,accuracy,positional_accuracy,subject
1,KDXFCE,KDXEFL,0.5,"[1, 1, 1, 0, 0, 0]",clara
2,NUZCRI,KDFGBM,0.0,"[0, 0, 0, 0, 0, 0]",clara
3,MBLZWF,LBSZCL,0.3333333333333333,"[0, 1, 0, 1, 0, 0]",clara
4,MDXJQG,MDXJNL,0.6666666666666666,"[1, 1, 1, 1, 0, 0]",clara
5,URXHOJ,URXHML,0.6666666666666666,"[1, 1, 1, 1, 0, 0]",clara
6,KSPTNU,KEPTSU,0.6666666666666666,"[1, 0, 1, 1, 0, 1]",clara
7,HDIUCA,HDIUSL,0.6666666666666666,"[1, 1, 1, 1, 0, 0]",clara
8,VTEARN,VTXASJ,0.5,"[1, 1, 0, 1, 0, 0]",clara
9,SKOYCT,SKOYLM,0.6666666666666666,"[1, 1, 1, 1, 0, 0]",clara
10,YUHOJE,YHOYLM,0.1666666666666666,"[1, 0, 0, 0, 0, 0]",clara
1,MEPRHZ,MEPRHZ,1.0,"[1, 1, 1, 1, 1, 1]",erine
2,CHAYUF,CHAYUF,1.0,"[1, 1, 1, 1, 1, 1]",erine
3,DAHRGY,DAHRGY,1.0,"[1, 1, 1, 1, 1, 1]",erine
4,BQNXJG,BQNXJG,1.0,"[1, 1, 1, 1, 1, 1]",erine
5,OANSUC,OANSUC,1.0,"[1, 1, 1, 1, 1, 1]",erine
6,EVLXPQ,EVLXPQ,1.0,"[1, 1, 1, 1, 1, 1]",erine
7,PNVGRU,PNVGRU,1.0,"[1, 1, 1, 1, 1, 1]",erine
8,HUIPQR,PRVHUI,0.0,"[0, 0, 0, 0, 0, 0]",erine
9,UWHYPB,UWHPVY,0.5,"[1, 1, 1, 0, 0, 0]",erine
10,IVLFDR,IVLFDR,1.0,"[1, 1, 1, 1, 1, 1]",erine
1,KZAMVI,KZAMVI,1.0,"[1, 1, 1, 1, 1, 1]",zuriel
2,GJTCBE,GJCMVE,0.5,"[1, 1, 0, 0, 0, 1]",zuriel
3,UYGRFH,UYGYCH,0.6666666666666666,"[1, 1, 1, 0, 0, 1]",zuriel
4,XSMFOK,XSMFOK,1.0,"[1, 1, 1, 1, 1, 1]",zuriel
5,WDSNGX,WDSNUX,0.8333333333333334,"[1, 1, 1, 1, 0, 1]",zuriel
6,JWAZKO,JWZAKO,0.6666666666666666,"[1, 1, 0, 0, 1, 1]",zuriel
7,JCITNR,JCRINF,0.5,"[1, 1, 0, 0, 1, 0]",zuriel
8,MWQIDP,MWQITP,0.8333333333333334,"[1, 1, 1, 1, 0, 1]",zuriel
9,SRWZOF,YUHZOF,0.5,"[0, 0, 0, 1, 1, 1]",zuriel
10,SVFYCP,YSGSSA,0.0,"[0, 0, 0, 0, 0, 0]",zuriel
1,IEHXAV,IEHXAV,1.0,"[1, 1, 1, 1, 1, 1]",joao
2,UKROWM,UKROWM,1.0,"[1, 1, 1, 1, 1, 1]",joao
3,CBLOTW,CBLOTW,1.0,"[1, 1, 1, 1, 1, 1]",joao
4,EVMKHS,EVMKHS,1.0,"[1, 1, 1, 1, 1, 1]",joao
5,RYHCUT,RYHCUT,1.0,"[1, 1, 1, 1, 1, 1]",joao
5,RYHCUT,,0.0,"[0, 0, 0, 0, 0, 0]",joao
6,DIYHJF,DIYHJF,1.0,"[1, 1, 1, 1, 1, 1]",joao
7,SXUPNV,SXUPNV,1.0,"[1, 1, 1, 1, 1, 1]",joao
8,EWQFNK,EWQFNK,1.0,"[1, 1, 1, 1, 1, 1]",joao
9,KLRGFY,TLRGFY,0.8333333333333334,"[0, 1, 1, 1, 1, 1]",joao
10,GWBYTJ,GWBYTJ,1.0,"[1, 1, 1, 1, 1, 1]",joao
