trial,sequence,response,accuracy,positional_accuracy,subject
1,DWUMVY,DWVMP,0.5,"[1, 1, 0, 1, 0, 0]",clara
2,PKVLNS,PKVSLM,0.5,"[1, 1, 1, 0, 0, 0]",clara
3,CZRDSJ,CZRSDK,0.5,"[1, 1, 1, 0, 0, 0]",clara
4,HFBGTA,HFBGTA,1.0,"[1, 1, 1, 1, 1, 1]",clara
5,ISWQKR,HSVKWL,0.1666666666666666,"[0, 1, 0, 0, 0, 0]",clara
6,KYDXRC,KYDXRC,1.0,"[1, 1, 1, 1, 1, 1]",clara
7,UIVPGH,UIVPKL,0.6666666666666666,"[1, 1, 1, 1, 0, 0]",clara
8,RPWUHS,RPVKLS,0.5,"[1, 1, 0, 0, 0, 1]",clara
9,TJLWKO,TJLWQI,0.6666666666666666,"[1, 1, 1, 1, 0, 0]",clara
10,GTYJCN,TCWNYK,0.0,"[0, 0, 0, 0, 0, 0]",clara
1,FXAPTH,FXAPTH,1.0,"[1, 1, 1, 1, 1, 1]",erine
2,AKHYSO,AKHYSO,1.0,"[1, 1, 1, 1, 1, 1]",erine
3,TOSAQD,TOSAQD,1.0,"[1, 1, 1, 1, 1, 1]",erine
4,PCKREZ,PCKREZ,1.0,"[1, 1, 1, 1, 1, 1]",erine
5,YELWFP,YELFEP,0.6666666666666666,"[1, 1, 1, 0, 0, 1]",erine
6,ZACKTP,ZACKTP,1.0,"[1, 1, 1, 1, 1, 1]",erine
7,BEQHLV,BEQHLV,1.0,"[1, 1, 1, 1, 1, 1]",erine
8,ETVCBX,ETVCBX,1.0,"[1, 1, 1, 1, 1, 1]",erine
9,NFCKHA,NFCKHA,1.0,"[1, 1, 1, 1, 1, 1]",erine
10,QACMRW,QACMRW,1.0,"[1, 1, 1, 1, 1, 1]",erine
1,WFDEHM,WFHDME,0.3333333333333333,"[1, 1, 0, 0, 0, 0]",zuriel
2,XJHFMN,XJHFMN,1.0,"[1, 1, 1, 1, 1, 1]",zuriel
3,LPODCM,LDPOCN,0.3333333333333333,"[1, 0, 0, 0, 1, 0]",zuriel
4,TEKALN,TEKNA,0.5,"[1, 1, 1, 0, 0, 0]",zuriel
5,LFERQX,LFREQN,0.5,"[1, 1, 0, 0, 1, 0]",zuriel
6,XFHBGS,LXHBGS,0.6666666666666666,"[0, 0, 1, 1, 1, 1]",zuriel
7,HKASLM,HKALSM,0.6666666666666666,"[1, 1, 1, 0, 0, 1]",zuriel
8,DXTFYI,DXTFYI,1.0,"[1, 1, 1, 1, 1, 1]",zuriel
9,JMXQSY,JMXDYS,0.5,"[1, 1, 1, 0, 0, 0]",zuriel
10,CHKQLW,CHKQLW,1.0,"[1, 1, 1, 1, 1, 1]",zuriel
1,YNKWQC,YNKVQC,0.8333333333333334,"[1, 1, 1, 0, 1, 1]",joao
2,OTIACQ,OTIACQ,1.0,"[1, 1, 1, 1, 1, 1]",joao
3,XBSPHU,XBSPHU,1.0,"[1, 1, 1, 1, 1, 1]",joao
4,XMJCSO,XMJCSO,1.0,"[1, 1, 1, 1, 1, 1]",joao
5,VUFDYP,VUFDYP,1.0,"[1, 1, 1, 1, 1, 1]",joao
6,RQYZJB,RQYDJB,0.8333333333333334,"[1, 1, 1, 0, 1, 1]",joao
7,OHZRWG,OHZRWZ,0.8333333333333334,"[1, 1, 1, 1, 1, 0]",joao
8,AQLDFR,AQLDFR,1.0,"[1, 1, 1, 1, 1, 1]",joao
9,CMJFKT,CMJFKT,1.0,"[1, 1, 1, 1, 1, 1]",joao
10,NHAXBU,NHAXBU,1.0,"[1, 1, 1, 1, 1, 1]",joao
