trial,sequence,response,accuracy,positional_accuracy,subject
1,UFPNCQ,UFPNZQ,0.8333333333333334,"[1, 1, 1, 1, 0, 1]",clara
2,XBHAYN,OPXANS,0.1666666666666666,"[0, 0, 0, 1, 0, 0]",clara
3,ZPJDTN,ZPJNTD,0.6666666666666666,"[1, 1, 1, 0, 1, 0]",clara
4,VWRZLT,VWLYKJ,0.3333333333333333,"[1, 1, 0, 0, 0, 0]",clara
5,TMGUCO,TMGUCO,1.0,"[1, 1, 1, 1, 1, 1]",clara
6,GROICF,GRCUSL,0.3333333333333333,"[1, 1, 0, 0, 0, 0]",clara
7,WYLTPX,TRSJLX,0.1666666666666666,"[0, 0, 0, 0, 0, 1]",clara
8,ZTSXWO,TRSOML,0.1666666666666666,"[0, 0, 1, 0, 0, 0]",clara
9,LABMRO,LABMRO,1.0,"[1, 1, 1, 1, 1, 1]",clara
10,KWAQJH,KWAQOH,0.8333333333333334,"[1, 1, 1, 1, 0, 1]",clara
1,YOHEBM,YOHEBM,1.0,"[1, 1, 1, 1, 1, 1]",erine
2,GNTICK,GNTICK,1.0,"[1, 1, 1, 1, 1, 1]",erine
3,FLCZDR,FLCZDR,1.0,"[1, 1, 1, 1, 1, 1]",erine
4,YJMGRS,YJLGMS,0.6666666666666666,"[1, 1, 0, 1, 0, 1]",erine
5,SCUJFX,SCUJFX,1.0,"[1, 1, 1, 1, 1, 1]",erine
6,ANFOCJ,ANFOCJ,1.0,"[1, 1, 1, 1, 1, 1]",erine
7,JHRTDF,JHRTDF,1.0,"[1, 1, 1, 1, 1, 1]",erine
8,CSIFLU,CSIFLU,1.0,"[1, 1, 1, 1, 1, 1]",erine
9,RUJQGE,RUJGLE,0.6666666666666666,"[1, 1, 1, 0, 0, 1]",erine
10,MSRJBZ,MSRJBZ,1.0,"[1, 1, 1, 1, 1, 1]",erine
1,FJQNVD,FJQVND,0.6666666666666666,"[1, 1, 1, 0, 0, 1]",zuriel
2,ZJREVH,ZJVREH,0.5,"[1, 1, 0, 0, 0, 1]",zuriel
3,OPTKEI,OPTKEI,1.0,"[1, 1, 1, 1, 1, 1]",zuriel
4,GQZKRL,GQZKRL,1.0,"[1, 1, 1, 1, 1, 1]",zuriel
5,IDBKYM,IDBKYM,1.0,"[1, 1, 1, 1, 1, 1]",zuriel
6,LUWKMI,LUWKMI,1.0,"[1, 1, 1, 1, 1, 1]",zuriel
7,WJFYCN,WJFYCN,1.0,"[1, 1, 1, 1, 1, 1]",zuriel
8,XFKOUG,XFKOUG,1.0,"[1, 1, 1, 1, 1, 1]",zuriel
9,BGFRID,BGFRID,1.0,"[1, 1, 1, 1, 1, 1]",zuriel
10,ABCQNE,ABCQNE,1.0,"[1, 1, 1, 1, 1, 1]",zuriel
1,LIVDCB,LIVDCB,1.0,"[1, 1, 1, 1, 1, 1]",joao
2,BIZNDJ,BIZNDJ,1.0,"[1, 1, 1, 1, 1, 1]",joao
3,NHYJXT,NHYJXT,1.0,"[1, 1, 1, 1, 1, 1]",joao
4,DALRCX,DALRCX,1.0,"[1, 1, 1, 1, 1, 1]",joao
5,QYCROM,QYCROM,1.0,"[1, 1, 1, 1, 1, 1]",joao
6,BMURJZ,BRUJMC,0.3333333333333333,"[1, 0, 1, 0, 0, 0]",joao
7,RQCXUD,RQCXUD,1.0,"[1, 1, 1, 1, 1, 1]",joao
8,VUDRKA,VUDRKA,1.0,"[1, 1, 1, 1, 1, 1]",joao
9,DANIQV,DANIQV,1.0,"[1, 1, 1, 1, 1, 1]",joao
9,DANIQV,,0.0,"[0, 0, 0, 0, 0, 0]",joao
10,AWMEUH,AWMEUH,1.0,"[1, 1, 1, 1, 1, 1]",joao
