trial,sequence,response,accuracy,positional_accuracy
1,XBTLZUKGAO,KUBGUHTHAK,0.1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
2,SXJOARZLQM,LQSAGYHI,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
3,ILJMEKZROU,LMEJQEDFPO,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
4,KWRUJZNIFM,FMKVRUZE,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5,TQWCPLBFIE,FEIUJKTQLO,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6,VHCZJWRXQE,TQVZRUHYGT,0.1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
7,GCTREVKPSA,TKVZAQSGOU,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8,VPXNCFSAQO,VPXNQOIUTH,0.4,"[1, 1, 1, 1, 0, 0, 0, 0, 0, 0]"
9,VXGDZRIBMK,IBMKJSFKOI,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10,YSRHBUZPLW,LWYZDFJHYG,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
