trial,sequence,response,accuracy,positional_accuracy
1,FXAPTH,FXAPTH,1.0,"[1, 1, 1, 1, 1, 1]"
2,AKHYSO,AKHYSO,1.0,"[1, 1, 1, 1, 1, 1]"
3,TOSAQD,TOSAQD,1.0,"[1, 1, 1, 1, 1, 1]"
4,PCKREZ,PCKREZ,1.0,"[1, 1, 1, 1, 1, 1]"
5,YELWFP,YELFEP,0.6666666666666666,"[1, 1, 1, 0, 0, 1]"
6,ZACKTP,ZACKTP,1.0,"[1, 1, 1, 1, 1, 1]"
7,BEQHLV,BEQHLV,1.0,"[1, 1, 1, 1, 1, 1]"
8,ETVCBX,ETVCBX,1.0,"[1, 1, 1, 1, 1, 1]"
9,NFCKHA,NFCKHA,1.0,"[1, 1, 1, 1, 1, 1]"
10,QACMRW,QACMRW,1.0,"[1, 1, 1, 1, 1, 1]"
